id_compra;data_compra;fornecedor_id;produto_id;quantidade;custo_unitario;frete;valor_total;data_prevista_entrega;status;competencia
COMP00001;2023-08-01;FOR009;PROD002;10;57.12;45.0;616.2;2023-08-11;Recebida;2023-08
COMP00002;2023-08-02;FOR009;PROD004;16;132.83;45.0;2170.28;2023-08-12;Recebida;2023-08
COMP00003;2023-08-03;FOR006;PROD007;12;64.39;45.0;817.68;2023-08-08;Recebida;2023-08
COMP00004;2023-08-02;FOR004;PROD008;16;75.93;45.0;1259.88;2023-08-22;Recebida;2023-08
COMP00005;2023-08-05;FOR015;PROD009;11;20.92;45.0;275.12;2023-08-20;Recebida;2023-08
COMP00006;2023-08-02;FOR018;PROD013;14;101.87;45.0;1471.18;2023-08-07;Recebida;2023-08
COMP00007;2023-08-03;FOR014;PROD017;15;66.92;45.0;1048.8;2023-08-13;Recebida;2023-08
COMP00008;2023-08-03;FOR015;PROD022;16;134.05;45.0;2189.8;2023-08-18;Recebida;2023-08
COMP00009;2023-08-04;FOR012;PROD025;13;65.84;45.0;900.92;2023-08-11;Recebida;2023-08
COMP00010;2023-08-04;FOR016;PROD026;11;85.6;45.0;986.6;2023-08-24;Recebida;2023-08
COMP00011;2023-08-03;FOR014;PROD029;11;69.64;45.0;811.04;2023-08-13;Recebida;2023-08
COMP00012;2023-08-03;FOR016;PROD031;12;117.5;45.0;1455.0;2023-08-23;Recebida;2023-08
COMP00013;2023-08-04;FOR002;PROD034;13;54.59;45.0;754.67;2023-08-11;Recebida;2023-08
COMP00014;2023-08-02;FOR008;PROD035;10;72.03;45.0;765.3;2023-08-17;Recebida;2023-08
COMP00015;2023-08-04;FOR004;PROD036;10;34.06;45.0;385.6;2023-08-24;Recebida;2023-08
COMP00016;2023-08-02;FOR016;PROD038;14;66.73;45.0;979.22;2023-08-22;Recebida;2023-08
COMP00017;2023-08-02;FOR009;PROD042;10;75.67;45.0;801.7;2023-08-12;Recebida;2023-08
COMP00018;2023-08-04;FOR001;PROD044;15;56.48;45.0;892.2;2023-08-19;Recebida;2023-08
COMP00019;2023-08-01;FOR017;PROD045;13;27.43;45.0;401.59;2023-08-16;Recebida;2023-08
COMP00020;2023-08-02;FOR002;PROD053;18;67.67;45.0;1263.06;2023-08-09;Recebida;2023-08
COMP00021;2023-08-03;FOR011;PROD054;10;27.61;45.0;321.1;2023-08-15;Recebida;2023-08
COMP00022;2023-08-05;FOR005;PROD056;10;64.41;45.0;689.1;2023-08-25;Recebida;2023-08
COMP00023;2023-08-03;FOR014;PROD058;11;140.43;45.0;1589.73;2023-08-13;Recebida;2023-08
COMP00024;2023-08-03;FOR004;PROD062;20;68.45;45.0;1414.0;2023-08-23;Recebida;2023-08
COMP00025;2023-08-02;FOR010;PROD065;14;79.21;45.0;1153.94;2023-08-17;Recebida;2023-08
COMP00026;2023-08-03;FOR015;PROD071;13;63.58;45.0;871.54;2023-08-18;Recebida;2023-08
COMP00027;2023-08-03;FOR017;PROD074;10;64.46;45.0;689.6;2023-08-18;Recebida;2023-08
COMP00028;2023-08-02;FOR002;PROD076;11;142.97;45.0;1617.67;2023-08-09;Recebida;2023-08
COMP00029;2023-08-01;FOR014;PROD079;12;64.89;45.0;823.68;2023-08-11;Recebida;2023-08
COMP00030;2023-08-02;FOR001;PROD080;11;47.83;45.0;571.13;2023-08-17;Recebida;2023-08
COMP00031;2023-09-05;FOR017;PROD001;17;28.9;45.0;536.3;2023-09-20;Recebida;2023-09
COMP00032;2023-09-04;FOR009;PROD002;10;57.2;45.0;617.0;2023-09-14;Recebida;2023-09
COMP00033;2023-09-04;FOR017;PROD003;14;83.87;45.0;1219.18;2023-09-19;Recebida;2023-09
COMP00034;2023-09-03;FOR009;PROD004;12;131.18;45.0;1619.16;2023-09-13;Recebida;2023-09
COMP00035;2023-09-03;FOR009;PROD005;21;47.29;45.0;1038.09;2023-09-13;Recebida;2023-09
COMP00036;2023-09-01;FOR009;PROD006;19;61.61;45.0;1215.59;2023-09-11;Recebida;2023-09
COMP00037;2023-09-01;FOR006;PROD007;13;65.3;45.0;893.9;2023-09-06;Recebida;2023-09
COMP00038;2023-09-04;FOR015;PROD009;24;21.16;45.0;552.84;2023-09-19;Recebida;2023-09
COMP00039;2023-09-03;FOR003;PROD010;26;53.06;45.0;1424.56;2023-09-10;Recebida;2023-09
COMP00040;2023-09-03;FOR015;PROD011;21;65.41;45.0;1418.61;2023-09-18;Recebida;2023-09
COMP00041;2023-09-02;FOR007;PROD012;14;92.31;45.0;1337.34;2023-09-07;Recebida;2023-09
COMP00042;2023-09-03;FOR006;PROD014;20;45.53;45.0;955.6;2023-09-08;Recebida;2023-09
COMP00043;2023-09-02;FOR004;PROD015;10;71.31;45.0;758.1;2023-09-22;Recebida;2023-09
COMP00044;2023-09-01;FOR008;PROD016;10;63.62;45.0;681.2;2023-09-16;Recebida;2023-09
COMP00045;2023-09-02;FOR014;PROD017;10;66.33;45.0;708.3;2023-09-12;Recebida;2023-09
COMP00046;2023-09-02;FOR001;PROD018;25;24.98;45.0;669.5;2023-09-17;Recebida;2023-09
COMP00047;2023-09-01;FOR010;PROD019;21;34.36;45.0;766.56;2023-09-16;Recebida;2023-09
COMP00048;2023-09-04;FOR004;PROD020;18;84.71;45.0;1569.78;2023-09-24;Recebida;2023-09
COMP00049;2023-09-05;FOR004;PROD021;25;67.6;45.0;1735.0;2023-09-25;Recebida;2023-09
COMP00050;2023-09-02;FOR015;PROD022;10;133.29;45.0;1377.9;2023-09-17;Recebida;2023-09
COMP00051;2023-09-02;FOR015;PROD023;20;64.08;45.0;1326.6;2023-09-17;Recebida;2023-09
COMP00052;2023-09-03;FOR018;PROD024;18;79.6;45.0;1477.8;2023-09-08;Recebida;2023-09
COMP00053;2023-09-01;FOR012;PROD025;21;65.72;45.0;1425.12;2023-09-08;Recebida;2023-09
COMP00054;2023-09-02;FOR016;PROD026;11;86.34;45.0;994.74;2023-09-22;Recebida;2023-09
COMP00055;2023-09-04;FOR002;PROD027;17;64.77;45.0;1146.09;2023-09-11;Recebida;2023-09
COMP00056;2023-09-05;FOR015;PROD028;31;54.75;45.0;1742.25;2023-09-20;Recebida;2023-09
COMP00057;2023-09-03;FOR014;PROD029;15;70.81;45.0;1107.15;2023-09-13;Recebida;2023-09
COMP00058;2023-09-03;FOR001;PROD030;24;109.95;45.0;2683.8;2023-09-18;Recebida;2023-09
COMP00059;2023-09-04;FOR016;PROD031;12;115.14;45.0;1426.68;2023-09-24;Recebida;2023-09
COMP00060;2023-09-04;FOR004;PROD032;10;48.67;45.0;531.7;2023-09-24;Recebida;2023-09
COMP00061;2023-09-04;FOR016;PROD033;10;82.14;45.0;866.4;2023-09-24;Recebida;2023-09
COMP00062;2023-09-05;FOR002;PROD034;14;53.57;45.0;794.98;2023-09-12;Recebida;2023-09
COMP00063;2023-09-04;FOR004;PROD036;13;34.7;45.0;496.1;2023-09-24;Recebida;2023-09
COMP00064;2023-09-05;FOR006;PROD037;23;47.21;45.0;1130.83;2023-09-10;Recebida;2023-09
