id_conta_receber;venda_id;cliente_id;data_emissao;data_vencimento;data_recebimento;numero_parcela;total_parcelas;valor_original;valor_recebido;saldo_aberto;status;forma_recebimento
CR000001;VEN000001;CLI098;2023-08-24;2023-09-23;2023-09-25;1;1;67.4;67.4;0.0;Recebido;Cartão de Crédito
CR000002;VEN000002;CLI063;2023-08-22;2023-08-22;2023-08-22;1;1;134.8;134.8;0.0;Recebido;PIX
CR000003;VEN000003;CLI074;2023-08-18;2023-08-18;2023-08-18;1;1;67.4;67.4;0.0;Recebido;Cartão de Débito
CR000004;VEN000004;CLI034;2023-08-31;2023-09-30;2023-10-02;1;2;33.7;33.7;0.0;Recebido;Cartão de Crédito
CR000005;VEN000004;CLI034;2023-08-31;2023-10-30;2023-10-31;2;2;33.7;33.7;0.0;Recebido;Cartão de Crédito
CR000006;VEN000005;CLI081;2023-08-06;2023-09-05;2023-09-05;1;1;134.8;134.8;0.0;Recebido;Cartão de Crédito
CR000007;VEN000006;CLI015;2023-08-12;2023-08-12;2023-08-12;1;1;134.8;134.8;0.0;Recebido;PIX
CR000008;VEN000007;CLI117;2023-08-23;2023-09-22;2023-09-23;1;1;67.4;67.4;0.0;Recebido;Cartão de Crédito
CR000009;VEN000008;CLI098;2023-08-08;2023-08-08;2023-08-10;1;1;67.4;67.4;0.0;Recebido;Cartão de Débito
CR000010;VEN000009;CLI082;2023-08-27;2023-08-27;2023-08-29;1;1;134.8;134.8;0.0;Recebido;PIX
CR000011;VEN000010;CLI055;2023-08-01;2023-08-01;2023-08-03;1;1;67.4;67.4;0.0;Recebido;PIX
CR000012;VEN000011;CLI040;2023-08-17;2023-08-17;2023-08-19;1;1;67.4;67.4;0.0;Recebido;PIX
CR000013;VEN000012;CLI057;2023-08-02;2023-08-02;2023-08-02;1;1;135.07;135.07;0.0;Recebido;Cartão de Débito
CR000014;VEN000013;CLI061;2023-08-01;2023-08-31;2023-09-02;1;2;202.6;202.6;0.0;Recebido;Cartão de Crédito
CR000015;VEN000013;CLI061;2023-08-01;2023-09-30;2023-09-30;2;2;202.61;202.61;0.0;Recebido;Cartão de Crédito
CR000016;VEN000014;CLI072;2023-08-25;2023-08-25;2023-08-25;1;1;270.14;270.14;0.0;Recebido;PIX
CR000017;VEN000015;CLI025;2023-08-21;2023-09-20;2023-09-20;1;1;270.14;270.14;0.0;Recebido;Cartão de Crédito
CR000018;VEN000016;CLI060;2023-08-15;2023-08-15;2023-08-15;1;1;270.14;270.14;0.0;Recebido;PIX
