produto_id;estoque_atual;estoque_minimo;consumo_medio_mensal;lead_time_dias;ultima_movimentacao;dias_sem_movimentacao;local_armazenagem;status
PROD001;6;10;25;12;2026-03-21;8;C1;Crítico
PROD002;6;15;38;12;2026-05-22;17;C2;Crítico
PROD003;2;15;27;15;2026-08-02;14;C2;Crítico
PROD004;6;20;25;10;2026-04-04;14;A1;Crítico
PROD005;4;15;12;10;2026-02-21;7;B1;Crítico
PROD006;8;10;25;10;2026-01-12;17;C1;Crítico
PROD007;7;15;33;12;2026-03-22;18;A1;Crítico
PROD008;2;15;15;5;2026-03-03;18;A1;Crítico
PROD009;120;15;34;10;2026-06-07;194;A2;Excesso
PROD010;219;20;38;10;2026-08-26;297;B1;Excesso
PROD011;137;15;38;12;2026-07-25;182;B1;Excesso
PROD012;182;10;42;12;2026-06-28;183;C2;Excesso
PROD013;246;10;10;5;2026-05-15;303;B1;Excesso
PROD014;249;15;24;12;2026-08-13;284;A1;Excesso
PROD015;201;15;18;5;2026-03-23;263;B1;Excesso
PROD016;193;20;30;12;2026-07-26;224;B1;Excesso
PROD017;87;20;8;7;2026-08-03;9;B1;Normal
PROD018;37;30;15;7;2026-04-07;78;C1;Normal
PROD019;20;10;8;15;2026-07-17;92;C2;Normal
PROD020;22;20;17;12;2026-01-03;114;A2;Normal
PROD021;32;25;9;15;2026-04-26;104;C1;Normal
PROD022;31;15;31;5;2026-08-28;47;B1;Normal
PROD023;14;10;8;12;2026-05-20;108;B1;Normal
PROD024;89;20;29;5;2026-06-13;21;B2;Normal
PROD025;61;25;13;15;2026-04-27;30;A2;Normal
PROD026;34;20;34;15;2026-03-05;27;B2;Normal
PROD027;61;30;28;7;2026-01-01;63;A1;Normal
PROD028;31;10;19;10;2026-05-08;48;B1;Normal
PROD029;85;30;8;12;2026-08-20;109;B2;Normal
PROD030;50;30;25;7;2026-01-10;97;A2;Normal
PROD031;30;25;13;5;2026-04-21;49;B2;Normal
PROD032;52;20;32;5;2026-04-22;108;A2;Normal
PROD033;42;30;32;15;2026-02-28;106;C1;Normal
PROD034;51;25;20;12;2026-05-10;104;C2;Normal
PROD035;66;25;35;7;2026-07-26;85;B2;Normal
PROD036;78;25;31;12;2026-03-09;17;A2;Normal
PROD037;25;10;19;12;2026-06-16;25;A2;Normal
PROD038;43;25;23;5;2026-03-17;102;B2;Normal
PROD039;89;15;13;12;2026-02-19;69;C1;Normal
PROD040;75;25;45;5;2026-08-16;5;A2;Normal
PROD041;86;30;19;15;2026-07-10;44;C1;Normal
PROD042;57;25;24;5;2026-05-06;58;B2;Normal
PROD043;23;20;27;7;2026-05-15;44;A1;Normal
PROD044;49;15;35;15;2026-06-12;82;C2;Normal
PROD045;37;10;35;10;2026-04-18;8;C2;Normal
PROD046;64;20;24;10;2026-01-10;110;A1;Normal
PROD047;82;15;21;5;2026-05-02;120;B2;Normal
PROD048;52;30;14;12;2026-06-26;46;B1;Normal
PROD049;53;20;8;15;2026-08-24;12;C2;Normal
PROD050;45;10;27;5;2026-06-14;62;C1;Normal
PROD051;44;20;17;10;2026-03-23;54;A2;Normal
PROD052;74;25;27;10;2026-05-11;49;C2;Normal
PROD053;32;30;18;15;2026-02-14;44;C1;Normal
PROD054;86;30;19;7;2026-08-22;45;A2;Normal
PROD055;57;25;26;15;2026-03-14;26;C1;Normal
PROD056;79;15;15;5;2026-04-06;102;B1;Normal
PROD057;78;30;28;12;2026-06-06;40;B1;Normal
PROD058;27;15;43;5;2026-01-06;19;A2;Normal
PROD059;74;30;42;5;2026-08-20;56;A2;Normal
PROD060;87;10;43;12;2026-07-01;117;C1;Normal
PROD061;24;20;36;5;2026-04-05;111;C2;Normal
PROD062;80;15;26;10;2026-06-24;98;A2;Normal
PROD063;80;30;17;7;2026-03-07;87;A1;Normal
PROD064;53;20;16;5;2026-02-07;106;A2;Normal
PROD065;57;30;37;12;2026-02-23;102;C1;Normal
PROD066;55;20;29;15;2026-01-03;53;A2;Normal
PROD067;41;20;25;7;2026-04-04;89;A1;Normal
PROD068;74;20;42;5;2026-02-01;22;B2;Normal
PROD069;57;30;24;10;2026-07-12;48;A2;Normal
PROD070;39;30;29;12;2026-03-04;71;A1;Normal
PROD071;55;20;41;7;2026-08-14;8;B2;Normal
PROD072;62;25;39;5;2026-04-13;105;C1;Normal
PROD073;59;30;17;10;2026-01-24;53;A2;Normal
PROD074;53;30;32;10;2026-05-04;48;B1;Normal
PROD075;68;20;21;7;2026-05-19;52;A1;Normal
PROD076;55;25;41;15;2026-02-25;33;A2;Normal
PROD077;42;30;41;15;2026-05-22;114;B1;Normal
PROD078;84;30;18;5;2026-07-19;33;B1;Normal
PROD079;50;25;35;10;2026-01-22;84;A1;Normal
PROD080;44;25;31;5;2026-06-07;112;C2;Normal
