id_movimentacao;data_movimentacao;tipo;categoria;descricao;valor;origem;origem_id;competencia
MOV000001;2023-09-19;Despesa;Compra de Mercadorias;Pagamento Confecções Prime;616.2;Conta a Pagar;CP00001;2023-08
MOV000002;2023-09-16;Despesa;Compra de Mercadorias;Pagamento Confecções Prime;2170.28;Conta a Pagar;CP00002;2023-08
MOV000003;2023-09-06;Despesa;Compra de Mercadorias;Pagamento ZipMaster;817.68;Conta a Pagar;CP00003;2023-08
MOV000004;2023-09-16;Despesa;Compra de Mercadorias;Pagamento Urban Cotton;1259.88;Conta a Pagar;CP00004;2023-08
MOV000005;2023-09-08;Despesa;Compra de Mercadorias;Pagamento Embalagens Premium;275.12;Conta a Pagar;CP00005;2023-08
MOV000006;2023-09-16;Despesa;Compra de Mercadorias;Pagamento Linha Forte Aviamentos;1471.18;Conta a Pagar;CP00006;2023-08
MOV000007;2023-09-17;Despesa;Compra de Mercadorias;Pagamento Cabides Brasil;1048.8;Conta a Pagar;CP00007;2023-08
MOV000008;2023-09-02;Despesa;Compra de Mercadorias;Pagamento Embalagens Premium;2189.8;Conta a Pagar;CP00008;2023-08
MOV000009;2023-08-31;Despesa;Compra de Mercadorias;Pagamento Tecido Nobre;900.92;Conta a Pagar;CP00009;2023-08
MOV000010;2023-09-18;Despesa;Compra de Mercadorias;Pagamento Tecelagem Aurora;986.6;Conta a Pagar;CP00010;2023-08
MOV000011;2023-09-17;Despesa;Compra de Mercadorias;Pagamento Cabides Brasil;811.04;Conta a Pagar;CP00011;2023-08
MOV000012;2023-09-21;Despesa;Compra de Mercadorias;Pagamento Tecelagem Aurora;1455.0;Conta a Pagar;CP00012;2023-08
MOV000013;2023-09-01;Despesa;Compra de Mercadorias;Pagamento Denim Brasil;754.67;Conta a Pagar;CP00013;2023-08
MOV000014;2023-08-30;Despesa;Compra de Mercadorias;Pagamento Moda Sul;765.3;Conta a Pagar;CP00014;2023-08
MOV000015;2023-09-18;Despesa;Compra de Mercadorias;Pagamento Urban Cotton;385.6;Conta a Pagar;CP00015;2023-08
MOV000016;2023-09-15;Despesa;Compra de Mercadorias;Pagamento Tecelagem Aurora;979.22;Conta a Pagar;CP00016;2023-08
MOV000017;2023-09-13;Despesa;Compra de Mercadorias;Pagamento Confecções Prime;801.7;Conta a Pagar;CP00017;2023-08
MOV000018;2023-09-01;Despesa;Compra de Mercadorias;Pagamento FashionTex Malhas;892.2;Conta a Pagar;CP00018;2023-08
MOV000019;2023-09-02;Despesa;Compra de Mercadorias;Pagamento Trend Imports;401.59;Conta a Pagar;CP00019;2023-08
MOV000020;2023-09-01;Despesa;Compra de Mercadorias;Pagamento Denim Brasil;1263.06;Conta a Pagar;CP00020;2023-08
MOV000021;2023-09-06;Despesa;Compra de Mercadorias;Pagamento Malharia Horizonte;321.1;Conta a Pagar;CP00021;2023-08
MOV000022;2023-09-04;Despesa;Compra de Mercadorias;Pagamento Style Buttons;689.1;Conta a Pagar;CP00022;2023-08
MOV000023;2023-09-17;Despesa;Compra de Mercadorias;Pagamento Cabides Brasil;1589.73;Conta a Pagar;CP00023;2023-08
MOV000024;2023-09-21;Despesa;Compra de Mercadorias;Pagamento Urban Cotton;1414.0;Conta a Pagar;CP00024;2023-08
MOV000025;2023-08-30;Despesa;Compra de Mercadorias;Pagamento Etiqueta&Cia;1153.94;Conta a Pagar;CP00025;2023-08
MOV000026;2023-09-02;Despesa;Compra de Mercadorias;Pagamento Embalagens Premium;871.54;Conta a Pagar;CP00026;2023-08
MOV000027;2023-08-31;Despesa;Compra de Mercadorias;Pagamento Trend Imports;689.6;Conta a Pagar;CP00027;2023-08
MOV000028;2023-09-03;Despesa;Compra de Mercadorias;Pagamento Denim Brasil;1617.67;Conta a Pagar;CP00028;2023-08
MOV000029;2023-09-17;Despesa;Compra de Mercadorias;Pagamento Cabides Brasil;823.68;Conta a Pagar;CP00029;2023-08
MOV000030;2023-08-30;Despesa;Compra de Mercadorias;Pagamento FashionTex Malhas;571.13;Conta a Pagar;CP00030;2023-08
MOV000031;2023-09-25;Receita;Vendas;Recebimento da venda VEN000001;67.4;Conta a Receber;CR000001;2023-08
MOV000032;2023-08-22;Receita;Vendas;Recebimento da venda VEN000002;134.8;Conta a Receber;CR000002;2023-08
MOV000033;2023-08-18;Receita;Vendas;Recebimento da venda VEN000003;67.4;Conta a Receber;CR000003;2023-08
MOV000034;2023-10-02;Receita;Vendas;Recebimento da venda VEN000004;33.7;Conta a Receber;CR000004;2023-08
MOV000035;2023-10-31;Receita;Vendas;Recebimento da venda VEN000004;33.7;Conta a Receber;CR000005;2023-08
MOV000036;2023-09-05;Receita;Vendas;Recebimento da venda VEN000005;134.8;Conta a Receber;CR000006;2023-08
MOV000037;2023-08-12;Receita;Vendas;Recebimento da venda VEN000006;134.8;Conta a Receber;CR000007;2023-08
MOV000038;2023-09-23;Receita;Vendas;Recebimento da venda VEN000007;67.4;Conta a Receber;CR000008;2023-08
MOV000039;2023-08-10;Receita;Vendas;Recebimento da venda VEN000008;67.4;Conta a Receber;CR000009;2023-08
MOV000040;2023-08-29;Receita;Vendas;Recebimento da venda VEN000009;134.8;Conta a Receber;CR000010;2023-08
MOV000041;2023-08-03;Receita;Vendas;Recebimento da venda VEN000010;67.4;Conta a Receber;CR000011;2023-08
