id;sku;nome;categoria;cor;tamanho;fornecedor_id;custo;preco_venda;margem_percentual;estoque_minimo;ativo
PROD001;SKU-1001;Camiseta Preta;Camisetas;Preta;PP;FOR014;67;144.71;116.0;20;True
PROD002;SKU-1002;Camiseta Preta;Camisetas;Preta;P;FOR016;147;386.26;162.8;30;True
PROD003;SKU-1003;Camiseta Preta;Camisetas;Preta;M;FOR008;71;160.15;125.6;10;True
PROD004;SKU-1004;Camiseta Preta;Camisetas;Preta;G;FOR014;28;59.03;110.8;10;True
PROD005;SKU-1005;Camiseta Preta;Camisetas;Preta;GG;FOR008;62;159.53;157.3;15;True
PROD006;SKU-1006;Camiseta Branca;Camisetas;Branca;PP;FOR014;35;76.32;118.1;30;True
PROD007;SKU-1007;Camiseta Branca;Camisetas;Branca;P;FOR011;138;239.77;73.7;30;True
PROD008;SKU-1008;Camiseta Branca;Camisetas;Branca;M;FOR012;152;374.42;146.3;10;True
PROD009;SKU-1009;Camiseta Branca;Camisetas;Branca;G;FOR003;64;160.97;151.5;10;True
PROD010;SKU-1010;Camiseta Branca;Camisetas;Branca;GG;FOR018;30;65.95;119.8;20;True
PROD011;SKU-1011;Camiseta Azul;Camisetas;Azul;PP;FOR006;127;283.61;123.3;10;True
PROD012;SKU-1012;Camiseta Azul;Camisetas;Azul;P;FOR008;145;384.61;165.2;10;True
PROD013;SKU-1013;Camiseta Azul;Camisetas;Azul;M;FOR003;75;144.71;92.9;10;True
PROD014;SKU-1014;Camiseta Azul;Camisetas;Azul;G;FOR013;168;373.62;122.4;15;True
PROD015;SKU-1015;Camiseta Azul;Camisetas;Azul;GG;FOR018;112;304.13;171.5;25;True
PROD016;SKU-1016;Camiseta Verde;Camisetas;Verde;PP;FOR015;99;208.07;110.2;30;True
PROD017;SKU-1017;Camiseta Verde;Camisetas;Verde;P;FOR016;123;252.12;105.0;25;True
PROD018;SKU-1018;Camiseta Verde;Camisetas;Verde;M;FOR003;93;160.85;73.0;15;True
PROD019;SKU-1019;Camiseta Verde;Camisetas;Verde;G;FOR003;151;257.17;70.3;30;True
PROD020;SKU-1020;Camiseta Verde;Camisetas;Verde;GG;FOR008;178;449.09;152.3;30;True
PROD021;SKU-1021;Camiseta Cinza;Camisetas;Cinza;PP;FOR004;180;369.09;105.0;15;True
PROD022;SKU-1022;Camiseta Cinza;Camisetas;Cinza;P;FOR011;68;162.46;138.9;20;True
PROD023;SKU-1023;Camiseta Cinza;Camisetas;Cinza;M;FOR008;177;481.91;172.3;10;True
PROD024;SKU-1024;Camiseta Cinza;Camisetas;Cinza;G;FOR006;68;120.51;77.2;25;True
PROD025;SKU-1025;Camiseta Cinza;Camisetas;Cinza;GG;FOR002;120;225.1;87.6;30;True
PROD026;SKU-1026;Calça Jeans Azul;Calças;Jeans Azul;PP;FOR006;86;184.7;114.8;30;True
PROD027;SKU-1027;Calça Jeans Azul;Calças;Jeans Azul;P;FOR016;28;74.8;167.1;30;True
PROD028;SKU-1028;Calça Jeans Azul;Calças;Jeans Azul;M;FOR008;121;294.47;143.4;15;True
PROD029;SKU-1029;Calça Jeans Azul;Calças;Jeans Azul;G;FOR014;168;298.41;77.6;25;True
PROD030;SKU-1030;Calça Jeans Azul;Calças;Jeans Azul;GG;FOR002;39;102.21;162.1;20;True
PROD031;SKU-1031;Calça Jeans Preta;Calças;Jeans Preta;PP;FOR008;99;172.09;73.8;15;True
PROD032;SKU-1032;Calça Jeans Preta;Calças;Jeans Preta;P;FOR011;125;222.05;77.6;15;True
PROD033;SKU-1033;Calça Jeans Preta;Calças;Jeans Preta;M;FOR016;63;158.79;152.0;10;True
PROD034;SKU-1034;Calça Jeans Preta;Calças;Jeans Preta;G;FOR017;89;164.97;85.4;25;True
PROD035;SKU-1035;Calça Jeans Preta;Calças;Jeans Preta;GG;FOR012;32;87.94;174.8;15;True
PROD036;SKU-1036;Calça Bege;Calças;Bege;PP;FOR014;119;281.02;136.2;25;True
