id_venda;data_venda;cliente_id;produto_id;canal_venda;quantidade;preco_unitario;valor_bruto;desconto_percentual;valor_desconto;valor_liquido;custo_total;lucro_bruto;margem_percentual;status;competencia
VEN000001;2023-08-24;CLI098;PROD001;Loja Física;1;67.4;67.4;0.0;0.0;67.4;28.78;38.62;57.3;Concluída;2023-08
VEN000002;2023-08-22;CLI063;PROD001;Loja Física;2;67.4;134.8;0.0;0.0;134.8;57.56;77.24;57.3;Concluída;2023-08
VEN000003;2023-08-18;CLI074;PROD001;E-commerce;1;67.4;67.4;0.0;0.0;67.4;28.78;38.62;57.3;Concluída;2023-08
VEN000004;2023-08-31;CLI034;PROD001;Loja Física;1;67.4;67.4;0.0;0.0;67.4;28.78;38.62;57.3;Concluída;2023-08
VEN000005;2023-08-06;CLI081;PROD001;Loja Física;2;67.4;134.8;0.0;0.0;134.8;57.56;77.24;57.3;Concluída;2023-08
VEN000006;2023-08-12;CLI015;PROD001;Loja Física;2;67.4;134.8;0.0;0.0;134.8;57.56;77.24;57.3;Concluída;2023-08
VEN000007;2023-08-23;CLI117;PROD001;Loja Física;1;67.4;67.4;0.0;0.0;67.4;28.78;38.62;57.3;Concluída;2023-08
VEN000008;2023-08-08;CLI098;PROD001;E-commerce;1;67.4;67.4;0.0;0.0;67.4;28.78;38.62;57.3;Concluída;2023-08
VEN000009;2023-08-27;CLI082;PROD001;E-commerce;2;67.4;134.8;0.0;0.0;134.8;57.56;77.24;57.3;Concluída;2023-08
VEN000010;2023-08-01;CLI055;PROD001;Loja Física;1;67.4;67.4;0.0;0.0;67.4;28.78;38.62;57.3;Concluída;2023-08
VEN000011;2023-08-17;CLI040;PROD001;Loja Física;1;67.4;67.4;0.0;0.0;67.4;28.78;38.62;57.3;Concluída;2023-08
VEN000012;2023-08-02;CLI057;PROD002;WhatsApp;1;135.07;135.07;0.0;0.0;135.07;56.44;78.63;58.2;Concluída;2023-08
VEN000013;2023-08-01;CLI061;PROD002;E-commerce;3;135.07;405.21;0.0;0.0;405.21;169.32;235.89;58.2;Concluída;2023-08
VEN000014;2023-08-25;CLI072;PROD002;Loja Física;2;135.07;270.14;0.0;0.0;270.14;112.88;157.26;58.2;Concluída;2023-08
VEN000015;2023-08-21;CLI025;PROD002;WhatsApp;2;135.07;270.14;0.0;0.0;270.14;112.88;157.26;58.2;Concluída;2023-08
VEN000016;2023-08-15;CLI060;PROD002;E-commerce;2;135.07;270.14;0.0;0.0;270.14;112.88;157.26;58.2;Concluída;2023-08
VEN000017;2023-08-09;CLI069;PROD002;Loja Física;1;135.07;135.07;0.0;0.0;135.07;56.44;78.63;58.2;Concluída;2023-08
VEN000018;2023-08-30;CLI100;PROD003;Loja Física;1;176.66;176.66;0.0;0.0;176.66;83.03;93.63;53.0;Concluída;2023-08
VEN000019;2023-08-29;CLI027;PROD003;Loja Física;1;176.66;176.66;0.0;0.0;176.66;83.03;93.63;53.0;Concluída;2023-08
