id_venda;data_venda;cliente_id;produto_id;vendedor_responsavel_id;canal_venda;quantidade;preco_unitario;valor_bruto;desconto_percentual;valor_desconto;valor_liquido;custo_total;lucro_bruto;margem_percentual;forma_pagamento;parcelas;status;cidade_entrega;estado_entrega;centro_custo;observacoes
VEN0001;2025-08-01;CLI114;PROD019;FUN024;E-commerce;2;257.17;514.34;0.0;0.0;514.34;302.0;212.34;41.3;Boleto;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0002;2025-08-01;CLI118;PROD077;FUN024;Loja Física;3;177.76;533.28;0.0;0.0;533.28;195.0;338.28;63.4;PIX;6;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0003;2025-08-05;CLI043;PROD011;FUN036;WhatsApp;1;283.61;283.61;0.0;0.0;283.61;127.0;156.61;55.2;PIX;6;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0004;2025-08-05;CLI042;PROD011;FUN036;E-commerce;1;283.61;283.61;0.0;0.0;283.61;127.0;156.61;55.2;PIX;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0005;2025-08-05;CLI081;PROD072;FUN025;Loja Física;3;145.08;435.24;0.0;0.0;435.24;156.0;279.24;64.2;Boleto;6;Devolvida;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0006;2025-08-06;CLI112;PROD048;FUN034;E-commerce;3;85.11;255.33;0.0;0.0;255.33;108.0;147.33;57.7;Boleto;1;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0007;2025-08-06;CLI101;PROD003;FUN028;Loja Física;1;160.15;160.15;0.0;0.0;160.15;71.0;89.15;55.7;Cartão de Débito;2;Concluída;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0008;2025-08-07;CLI074;PROD038;FUN035;WhatsApp;1;137.27;137.27;0.0;0.0;137.27;60.0;77.27;56.3;Cartão de Crédito;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0009;2025-08-08;CLI053;PROD068;FUN024;E-commerce;1;318.09;318.09;5.0;15.9;302.19;122.0;180.19;59.6;Cartão de Crédito;2;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0010;2025-08-08;CLI074;PROD059;FUN023;E-commerce;2;73.44;146.88;5.0;7.34;139.54;60.0;79.54;57.0;Cartão de Crédito;4;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0011;2025-08-08;CLI112;PROD015;FUN030;E-commerce;3;304.13;912.39;0.0;0.0;0.0;336.0;0.0;0.0;Cartão de Crédito;1;Cancelada;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0012;2025-08-09;CLI116;PROD039;FUN038;E-commerce;1;57.26;57.26;5.0;2.86;0.0;27.0;0.0;0.0;Cartão de Crédito;4;Cancelada;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0013;2025-08-09;CLI112;PROD042;FUN035;Loja Física;1;109.51;109.51;0.0;0.0;0.0;59.0;0.0;0.0;PIX;1;Cancelada;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0014;2025-08-09;CLI112;PROD021;FUN037;Loja Física;2;369.09;738.18;0.0;0.0;0.0;360.0;0.0;0.0;Cartão de Crédito;2;Cancelada;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0015;2025-08-10;CLI104;PROD037;FUN029;Loja Física;2;465.86;931.72;0.0;0.0;931.72;346.0;585.72;62.9;Cartão de Débito;1;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0016;2025-08-11;CLI035;PROD029;FUN030;E-commerce;1;298.41;298.41;0.0;0.0;298.41;168.0;130.41;43.7;Cartão de Débito;6;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
