produto_id;estoque_atual;estoque_minimo;consumo_medio_mensal;lead_time_dias;status
PROD001;25;11;20.75;15;Normal
PROD002;25;8;11.83;10;Normal
PROD003;26;10;15.61;15;Normal
PROD004;34;9;19.5;10;Normal
PROD005;29;11;17.17;10;Normal
PROD006;26;8;14.08;10;Normal
PROD007;24;9;15.36;5;Normal
PROD008;29;8;11.31;20;Normal
PROD009;29;14;26.06;15;Normal
PROD010;34;18;30.25;7;Normal
PROD011;32;12;15.61;15;Normal
PROD012;22;8;14.97;5;Normal
PROD013;27;8;13.31;5;Normal
PROD014;26;8;16.64;5;Normal
PROD015;19;8;13.33;20;Normal
PROD016;25;8;11.39;15;Normal
PROD017;21;8;12.61;10;Normal
PROD018;28;12;22.11;15;Normal
PROD019;31;11;21.33;15;Normal
PROD020;25;10;13.19;20;Normal
PROD021;25;11;18.28;20;Normal
PROD022;30;8;13.44;15;Normal
PROD023;12;8;13.31;15;Normal
PROD024;22;9;15.47;5;Normal
PROD025;31;9;19.17;7;Normal
PROD026;31;9;15.81;20;Normal
PROD027;26;10;14.33;7;Normal
PROD028;30;14;23.28;15;Normal
PROD029;25;9;14.56;10;Normal
PROD030;25;11;21.36;15;Normal
PROD031;35;8;15.0;20;Normal
PROD032;20;8;11.08;20;Normal
PROD033;15;8;9.89;20;Normal
PROD034;26;8;14.39;7;Normal
PROD035;30;8;10.58;15;Normal
PROD036;23;8;15.89;20;Normal
PROD037;32;13;21.47;5;Normal
PROD038;29;9;17.36;20;Normal
PROD039;21;8;16.08;12;Normal
PROD040;21;8;7.17;7;Normal
PROD041;23;8;15.89;15;Normal
PROD042;23;8;18.92;10;Normal
PROD043;23;8;12.69;7;Normal
PROD044;32;9;17.61;15;Normal
PROD045;33;15;31.28;15;Normal
PROD046;32;15;26.78;15;Normal
PROD047;31;9;15.58;10;Normal
PROD048;23;9;15.53;15;Normal
PROD049;20;8;7.81;7;Normal
PROD050;25;9;12.44;15;Normal
PROD051;22;8;14.28;15;Normal
PROD052;31;11;18.69;5;Normal
PROD053;35;10;18.19;7;Normal
PROD054;37;14;26.53;12;Normal
PROD055;33;13;23.56;15;Normal
PROD056;33;11;22.53;20;Normal
PROD057;27;12;18.0;15;Normal
PROD058;32;8;12.03;10;Normal
PROD059;29;11;18.06;20;Normal
PROD060;22;9;13.25;7;Normal
PROD061;26;9;13.17;5;Normal
PROD062;44;11;22.33;20;Normal
PROD063;25;13;20.11;20;Normal
PROD064;29;17;29.11;7;Normal
PROD065;34;13;24.17;15;Normal
PROD066;27;12;23.86;5;Normal
PROD067;22;8;5.86;15;Normal
PROD068;14;8;14.69;10;Normal
PROD069;22;9;15.22;12;Normal
PROD070;18;8;8.58;7;Normal
PROD071;30;8;13.72;15;Normal
PROD072;20;8;11.64;10;Normal
PROD073;38;14;27.08;20;Normal
PROD074;36;11;18.36;15;Normal
PROD075;27;11;19.75;12;Normal
PROD076;19;8;7.67;7;Normal
PROD077;14;8;9.97;5;Normal
PROD078;25;8;13.36;12;Normal
PROD079;21;9;14.67;10;Normal
PROD080;29;8;10.33;15;Normal
