id;sku;nome;categoria;cor;tamanho;fornecedor_id;custo_base;preco_base;estoque_minimo;demanda_base_mensal;perfil_sazonal;tendencia_mensal;popularidade;ativo
PROD001;US-1001;Básica Branca Preto G;Camisetas;Preto;G;FOR017;28.78;67.4;11;17;verao;0.0053;1.057;True
PROD002;US-1002;Wide Leg Cinza M;Calças;Cinza;M;FOR009;56.44;135.07;8;10;estavel;0.0025;1.124;True
PROD003;US-1003;Canelado Rosa PP;Vestidos;Rosa;PP;FOR017;83.03;176.66;10;15;verao;-0.0015;1.036;True
PROD004;US-1004;Puffer Preto M;Jaquetas;Preto;M;FOR009;131.07;259.98;9;13;inverno;0.0098;1.2;True
PROD005;US-1005;Jeans Azul P;Bermudas;Azul;P;FOR009;46.9;93.61;11;16;verao;-0.0006;1.038;True
PROD006;US-1006;Midi Bege M;Saias;Bege;M;FOR009;61.07;130.96;8;12;verao;0.0072;1.005;True
PROD007;US-1007;Linho Preto M;Camisas;Preto;M;FOR006;65.27;126.35;9;14;estavel;-0.0032;1.079;True
PROD008;US-1008;Tricô Branco GG;Blusas;Branco;GG;FOR004;76.12;145.52;8;9;inverno;-0.001;1.232;True
PROD009;US-1009;Boné Rosa Único;Acessórios;Rosa;Único;FOR015;21.13;48.23;14;21;fim_ano;-0.0012;1.17;True
PROD010;US-1010;Estampada Azul GG;Camisetas;Azul;GG;FOR003;52.26;134.03;18;26;verao;0.0024;1.071;True
PROD011;US-1011;Sarja Rosa G;Calças;Rosa;G;FOR015;65.58;125.38;12;18;estavel;-0.0043;0.901;True
PROD012;US-1012;Curto Vermelho GG;Vestidos;Vermelho;GG;FOR007;92.34;208.03;8;12;verao;0.0044;1.104;True
PROD013;US-1013;Couro Sintético Cinza M;Jaquetas;Cinza;M;FOR018;101.38;203.49;8;11;inverno;0.0084;1.006;True
PROD014;US-1014;Jeans Verde GG;Bermudas;Verde;GG;FOR006;46.15;107.97;8;12;verao;0.0057;1.216;True
PROD015;US-1015;Midi Vermelho M;Saias;Vermelho;M;FOR004;70.93;161.35;8;9;verao;0.0096;1.156;True
PROD016;US-1016;Linho Rosa P;Camisas;Rosa;P;FOR008;62.9;122.22;8;8;estavel;0.0119;1.109;True
PROD017;US-1017;Tricô Cinza PP;Blusas;Cinza;PP;FOR014;65.98;139.68;8;11;inverno;0.0047;1.046;True
PROD018;US-1018;Carteira Bege Único;Acessórios;Bege;Único;FOR001;24.63;52.59;12;18;fim_ano;0.0095;1.01;True
PROD019;US-1019;Básica Preta Bege G;Camisetas;Bege;G;FOR010;34.27;79.51;11;17;verao;0.003;1.144;True
PROD020;US-1020;Sarja Preto G;Calças;Preto;G;FOR004;85.22;177.39;10;15;estavel;-0.0031;0.922;True
PROD021;US-1021;Canelado Branco GG;Vestidos;Branco;GG;FOR004;68.34;160.19;11;16;verao;-0.0006;1.106;True
PROD022;US-1022;Corta Vento Preto M;Jaquetas;Preto;M;FOR015;131.44;249.18;8;12;inverno;0.0;1.107;True
PROD023;US-1023;Jeans Cinza P;Bermudas;Cinza;P;FOR015;63.01;144.21;8;10;verao;0.003;1.174;True
PROD024;US-1024;Jeans Vermelho PP;Saias;Vermelho;PP;FOR018;80.41;189.85;9;13;verao;0.0073;0.993;True
